	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_799	NA	NA	NA	NA	NA	NA	NA
ASV_800	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_801	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_802	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_803	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_804	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_805	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_806	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_807	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__
ASV_808	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_809	NA	NA	NA	NA	NA	NA	NA
ASV_810	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_811	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_812	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_813	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_814	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_815	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_816	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_817	NA	NA	NA	NA	NA	NA	NA
ASV_818	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_819	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_820	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_821	NA	NA	NA	NA	NA	NA	NA
ASV_822	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_823	NA	NA	NA	NA	NA	NA	NA
ASV_824	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_825	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_826	NA	NA	NA	NA	NA	NA	NA
ASV_827	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_828	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_829	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_830	NA	NA	NA	NA	NA	NA	NA
ASV_831	NA	NA	NA	NA	NA	NA	NA
ASV_832	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_833	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_834	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_835	k__Bacteria	NA	NA	NA	NA	NA	NA
