	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_65	38	30	45	29	33	2	9	24	42	23	28	5	26	47	35	15	20	20	20	20	63	88	76	29	41	88	74	40	27	42	27	46	95	49	65	30	279	61	352	478	104	142	901	181	375	57	138
ASV_66	59	51	74	27	22	24	20	19	40	38	69	36	9	45	65	15	36	14	27	42	48	75	56	21	66	208	122	29	52	95	110	72	94	116	47	88	214	162	453	161	192	161	369	123	261	191	77
ASV_67	42	115	100	43	47	32	17	52	120	118	120	88	42	80	46	78	61	31	24	42	45	50	63	23	69	209	51	138	247	649	199	59	217	70	78	142	98	119	151	113	57	1	24	14	1	1	10
ASV_68	13	15	42	81	149	161	134	149	64	38	359	54	86	42	43	177	30	48	330	53	36	18	230	67	0	0	0	1	0	0	1	0	161	0	3	2	2	48	68	320	268	1	169	64	1	55	115
ASV_69	101	114	110	118	169	129	186	95	236	129	168	127	119	82	202	112	119	202	206	116	233	234	78	90	0	0	0	0	0	0	1	0	2	0	0	0	0	5	0	0	4	2	2	2	2	2	4
ASV_70	13	14	27	7	12	1	8	1	19	16	11	6	8	89	12	12	0	9	10	11	13	0	16	0	136	21	42	102	67	1207	256	207	132	495	99	6	43	10	21	42	28	26	21	24	50	107	6
ASV_71	122	150	93	155	155	74	125	99	178	126	268	77	100	1	168	160	171	49	110	107	327	114	255	19	2	1	0	0	0	2	0	0	2	0	1	214	0	0	0	1	1	1	4	0	1	2	0
ASV_72	63	110	78	83	85	3	29	3	212	76	181	3	0	2	1	0	19	11	4	8	338	305	229	59	56	2	7	9	187	3	35	24	480	93	371	7	4	13	10	16	0	0	50	0	24	13	7
ASV_73	9	33	33	12	39	23	72	62	42	14	102	57	44	58	34	25	117	41	35	37	184	141	187	58	240	18	182	97	95	38	79	46	434	38	159	118	20	103	34	54	16	22	17	9	9	4	5
ASV_74	114	48	39	57	74	36	79	57	119	30	13	152	28	384	22	33	182	265	174	31	676	1	341	271	0	0	0	1	0	0	2	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0
ASV_75	73	115	285	59	86	49	66	36	232	100	159	37	63	59	180	127	109	55	48	66	50	172	104	19	7	14	20	4	17	267	37	16	28	48	20	21	21	17	47	11	8	58	18	19	72	22	1
ASV_76	163	140	72	78	133	107	72	86	71	55	79	107	151	364	87	266	100	179	133	160	127	128	127	69	1	0	0	0	0	0	1	0	0	0	0	0	0	61	0	0	0	0	0	8	2	0	1
ASV_77	107	160	72	125	199	136	166	182	201	102	195	88	134	141	124	108	267	159	137	142	0	0	152	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	83	103	88	85	129	113	184	103	224	123	156	84	99	71	181	133	126	230	197	123	161	229	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	1	4	1	2	2	3	2	3
ASV_79	30	11	20	14	37	22	48	49	43	39	49	47	26	58	30	56	23	27	49	47	65	158	41	8	310	72	206	71	304	36	34	181	231	234	210	106	7	1	6	3	7	0	6	1	0	1	4
ASV_80	1	18	3	8	21	1	0	0	9	1	11	1	0	126	58	9	0	1	0	0	452	65	14	16	407	0	3	0	1	1106	1	1	178	4	224	32	1	142	0	14	2	0	3	1	0	1	1
ASV_81	4	1	5	2	0	1	0	3	2	1	3	0	0	0	3	5	4	2	0	0	8	11	7	0	56	62	215	3	5	247	108	55	14	177	54	27	183	33	204	185	91	205	358	60	299	86	60
ASV_82	125	45	66	35	44	38	58	57	74	66	56	47	49	74	72	56	67	65	39	51	84	129	38	16	53	37	66	60	59	55	53	85	138	68	61	49	66	68	35	79	30	59	112	46	36	44	18
ASV_83	76	43	7	67	163	81	97	122	60	33	116	62	158	67	80	89	152	95	191	176	131	85	104	42	0	0	1	36	0	0	2	0	0	0	232	57	1	73	0	0	0	0	0	0	1	1	0
ASV_84	74	82	221	108	73	0	23	3	72	96	164	0	94	0	267	1	203	261	1	121	100	0	1	1	0	9	0	1	0	0	115	9	83	249	41	9	0	0	0	0	13	2	5	10	1	75	0
ASV_85	9	6	59	34	14	5	6	12	36	31	39	2	9	9	109	14	9	15	15	57	0	0	2	2	2	0	1	34	0	0	2	2	1	0	1	0	0	1	102	0	218	65	245	932	199	71	43
ASV_86	50	6	3	0	1	2	53	5	3	2	238	2	1	7	3	4	11	2	41	2	438	310	2	183	3	1	2	23	1	2	2	2	856	0	3	4	3	5	3	5	5	1	2	1	1	1	2
ASV_87	64	23	19	30	61	40	73	42	104	16	32	129	9	242	39	32	103	137	111	29	425	0	247	172	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	0	0	0	0	0	0	0	0	0	0	0	0	0	40	2	43	1	0	0	0	50	424	59	15	817	1	0	0	293	0	1	0	1	0	0	1	1	1	1	0	418	0	1	0	0	0	0
ASV_89	51	24	16	37	84	45	74	38	108	10	29	119	19	224	31	28	89	167	124	34	380	0	243	172	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	1	11	6	0	6	0	8	1	19	2	10	4	21	15	76	34	14	27	25	20	66	43	16	11	141	34	99	33	48	75	116	41	98	123	167	51	24	94	37	53	38	34	124	39	114	46	48
ASV_91	141	96	142	59	125	85	151	132	91	73	98	36	116	101	128	51	143	41	44	96	32	24	69	31	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_92	120	37	109	53	167	69	92	150	120	22	269	62	93	142	44	28	75	105	161	62	13	0	1	0	0	0	0	0	0	0	0	0	1	0	1	13	0	1	0	1	0	1	0	0	0	1	1
ASV_93	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	6	468	0	0	0	1	0	51	310	82	224	4	0	280	0	353	189	1
ASV_94	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	399	58	0	260	210	3	0	1	756	2	1	110	2	119	6	13	0	0	1	0	0	1	0
ASV_95	24	12	52	8	22	45	26	33	57	19	34	57	7	49	25	28	19	14	38	15	28	72	14	3	71	4	31	3	49	110	56	54	34	207	152	23	15	27	16	19	58	17	88	36	47	35	27
ASV_96	2	1	3	0	2	2	0	0	1	2	6	0	8	1	2	2	5	0	1	0	1	3	1	0	2	0	3	0	2	9	424	1	4	8	2	0	46	274	71	197	1	0	219	1	294	157	1
ASV_97	55	81	46	75	71	38	74	57	71	67	145	55	39	0	76	102	87	23	69	60	158	44	104	11	0	0	0	0	0	0	0	0	1	0	1	112	0	0	1	0	0	0	0	1	0	0	0
ASV_98	50	46	66	35	86	76	73	52	64	74	85	28	46	40	52	24	39	95	25	38	113	25	45	4	37	7	0	21	1	171	1	10	68	0	87	9	6	0	0	0	5	0	0	19	0	0	0
ASV_99	17	32	40	29	148	101	61	93	55	22	232	21	24	25	31	24	16	22	19	29	22	17	64	15	23	6	5	8	22	27	13	15	100	25	19	7	2	19	16	25	36	13	45	27	45	17	15
ASV_100	1	1	15	2	3	4	0	5	7	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	62	75	185	71	82	403	140	1	275	15	23
ASV_101	0	0	0	0	0	0	0	0	1	0	1	0	0	26	0	33	0	0	1	1	28	258	28	9	528	0	0	0	191	0	0	2	0	0	0	0	0	1	0	1	268	0	0	0	0	0	0
ASV_102	0	0	185	1	0	1	0	3	1	1	0	1	7	0	54	3	970	119	0	1	0	4	0	1	2	0	0	1	0	0	1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_103	2	0	0	0	1	0	10	0	14	11	2	3	1	0	0	0	3	0	0	0	1	43	36	17	43	9	75	37	63	154	69	32	171	54	45	133	28	42	8	28	23	9	68	19	18	47	14
ASV_104	64	43	13	17	111	5	64	20	34	31	28	72	8	18	15	1	3	15	14	16	39	479	86	4	1	0	0	0	0	0	0	2	2	2	9	3	0	0	0	0	0	0	0	5	0	0	0
ASV_105	37	57	55	43	80	47	53	84	72	59	58	44	56	57	53	35	106	58	56	51	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	179	0	45	5	1	96	605	2	46	1	2	2	11	7	3	0	185	0	0	0	0	0	0	0	0	0
ASV_107	74	8	14	9	28	29	6	22	46	41	43	59	14	12	16	9	47	34	9	10	32	19	31	8	18	13	28	53	62	27	31	16	48	71	32	37	4	19	17	19	19	5	22	5	7	11	7
ASV_108	48	31	48	13	34	19	9	93	174	22	83	24	78	20	21	63	22	20	18	23	49	40	118	86	0	0	0	0	0	0	0	0	0	1	0	0	0	26	1	0	0	0	0	0	0	0	0
ASV_109	41	27	58	12	52	31	32	70	37	46	82	43	55	53	28	9	73	27	26	31	7	28	59	13	12	1	0	0	0	1	0	0	4	26	16	8	0	22	0	0	42	0	58	1	0	21	15
ASV_110	19	29	19	10	16	17	11	57	13	17	24	24	11	23	19	23	14	17	20	13	10	11	2	7	8	9	0	14	7	0	4	11	16	6	9	9	12	21	189	30	7	17	242	13	61	17	14
ASV_111	0	1	2	0	0	0	0	23	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	35	5	43	0	0	154	68	11	104	125	74	15	4	27	46	67	77	66	69	11	81	13	5
ASV_112	34	8	16	11	21	17	26	41	19	35	11	21	79	86	51	34	30	32	57	44	85	57	61	21	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1048	0	0	0	0	0	0	0	0	0	3	0
ASV_114	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	640	0	1	0	1	1	1	0	0	0	388	14	0	0	0	0	0	0	0	2	0	0	0
ASV_115	1	2	2	0	1	2	14	4	4	0	24	20	9	16	6	3	49	13	13	11	62	48	78	21	67	8	51	19	39	15	38	15	147	22	48	48	4	43	7	17	10	4	5	11	1	0	4
ASV_116	18	24	21	10	18	6	19	16	31	12	20	8	37	47	12	24	55	28	26	19	18	21	39	12	15	19	1	47	17	56	1	29	49	43	0	18	3	8	12	27	25	13	36	1	43	5	2
ASV_117	19	16	44	14	41	24	6	40	22	7	31	15	12	23	34	27	48	6	23	23	119	166	41	41	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0
ASV_118	0	21	15	18	0	0	15	0	0	32	0	0	0	4	0	0	0	0	0	47	0	0	0	39	0	100	0	67	141	0	1	132	0	1	1	2	93	0	1	0	0	0	0	84	0	109	49
ASV_119	230	14	4	7	18	25	97	74	22	28	6	15	41	101	0	17	0	17	47	28	70	0	86	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	26	53	99	22	29	14	14	8	78	29	46	8	22	20	52	47	38	21	26	14	9	49	31	7	0	3	1	0	1	55	6	0	2	2	0	4	0	4	0	0	2	2	0	1	2	5	2
ASV_121	3	0	7	1	12	6	8	11	10	5	9	8	9	1	9	3	6	4	5	4	8	5	8	1	5	3	1	1	3	0	0	1	8	3	8	1	1	4	31	0	67	22	90	330	72	27	21
ASV_122	56	23	22	18	21	8	42	25	43	29	25	25	26	41	33	39	31	21	39	24	42	82	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0
ASV_123	38	79	117	89	48	38	0	81	85	0	84	0	0	0	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	71	1	0	0	0	0	0	0	0	0
ASV_124	14	42	22	25	21	2	5	0	64	26	39	3	0	1	0	1	8	2	0	2	77	64	51	22	10	0	4	4	30	0	7	4	113	17	72	2	4	5	2	5	1	0	3	0	5	5	0
ASV_125	1	1	3	2	2	2	3	2	2	3	8	0	7	0	12	2	1	0	0	0	1	0	1	0	1	0	0	0	1	1	66	1	2	3	0	1	1	2	2	0	0	53	191	0	235	128	0
ASV_126	33	14	3	16	12	8	21	13	16	27	16	20	15	30	8	25	48	35	16	27	72	72	36	14	5	0	0	0	0	20	6	18	0	11	11	1	1	32	0	8	9	0	1	5	4	0	1
ASV_127	0	5	0	9	3	0	0	0	2	0	7	0	0	21	14	2	0	0	1	1	82	6	0	2	113	1	2	0	0	294	0	2	45	1	52	7	0	28	0	6	0	0	0	1	0	0	0
ASV_128	37	13	38	18	38	60	21	49	34	10	92	16	37	35	10	11	25	29	53	45	14	0	0	0	0	0	0	0	0	0	0	1	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0
